                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.037,                0.67203,                 1.1353,                      1,                0.94375,                0.97612,                0.73128,                 0.9609,                0.51368,                 1.0664,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.031,                0.66927,                 1.1312,                      1,                0.94909,                0.97407,                0.69739,                  1.081,                 0.5548,                 1.2025,               0.001307,               0.001307,               0.001307
                     37,                 1.0319,                0.64143,                 1.1394,                 0.9717,                  0.975,                0.99127,                0.77273,                0.85529,                0.46097,                0.99731,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0479,                0.67597,                 1.1321,                0.99056,                  0.975,                  0.991,                0.74624,                0.95241,                0.48565,                  1.044,              0.0012674,              0.0012674,              0.0012674
                     39,                0.99292,                0.59482,                 1.0993,                0.99496,                      1,                  0.995,                 0.7622,                0.90377,                0.44218,                 1.0292,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0098,                0.63645,                 1.1192,                0.99665,                   0.95,                0.99127,                0.75683,                0.92891,                0.47848,                 1.0428,              0.0012278,              0.0012278,              0.0012278
                     41,                0.98355,                0.64831,                 1.1258,                0.99423,                   0.95,                0.99093,                0.76859,                0.90702,                0.46977,                 1.0394,               0.001208,               0.001208,               0.001208
                     42,                0.98217,                0.61084,                   1.11,                0.97496,                0.97334,                0.99378,                0.75832,                0.92589,                0.47643,                 1.0425,              0.0011882,              0.0011882,              0.0011882
                     43,                0.96696,                 0.5925,                 1.0751,                0.99355,                  0.975,                0.99405,                   0.78,                 0.8801,                0.44702,                  1.021,              0.0011684,              0.0011684,              0.0011684
                     44,                0.96235,                0.59537,                 1.0822,                      1,                0.97227,                0.99009,                 0.7622,                0.94942,                0.47171,                 1.0597,              0.0011486,              0.0011486,              0.0011486
