                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93715,                0.57313,                 1.1046,                0.97331,                0.99094,                0.99431,                0.75326,                0.93584,                0.41792,                 1.0697,               0.000948,               0.000948,               0.000948
                     36,                0.90225,                  0.568,                 1.0889,                0.98061,                0.95126,                0.99236,                0.74876,                0.92259,                0.42718,                 1.0833,             0.00093385,             0.00093385,             0.00093385
                     37,                0.91706,                 0.5606,                 1.1026,                 0.9837,                0.96673,                0.99354,                0.75753,                0.89739,                0.40902,                 1.0573,              0.0009197,              0.0009197,              0.0009197
                     38,                0.91587,                0.56645,                 1.1023,                 0.9578,                0.98522,                0.99223,                0.75317,                0.93391,                 0.4032,                 1.0869,             0.00090556,             0.00090556,             0.00090556
                     39,                0.89065,                 0.5409,                 1.0856,                0.96156,                0.96033,                0.99025,                0.75722,                0.91598,                0.43054,                 1.0714,             0.00089141,             0.00089141,             0.00089141
                     40,                0.87416,                0.54704,                 1.0753,                0.96494,                0.97681,                0.99041,                0.75857,                0.91522,                0.42031,                 1.0857,             0.00087726,             0.00087726,             0.00087726
                     41,                0.88952,                0.54295,                 1.0856,                0.97077,                0.98393,                 0.9926,                0.75628,                0.91983,                0.41377,                 1.0775,             0.00086312,             0.00086312,             0.00086312
                     42,                0.88723,                0.53907,                 1.0777,                0.95084,                0.98124,                0.98789,                0.75779,                0.90881,                 0.4081,                 1.0748,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.8399,                0.51539,                 1.0619,                0.95858,                  0.985,                0.98845,                0.74736,                0.89539,                0.41412,                 1.0669,             0.00083482,             0.00083482,             0.00083482
                     44,                0.88743,                 0.5361,                 1.0784,                0.95367,                  0.968,                0.99063,                0.74841,                0.90037,                0.42399,                 1.0796,             0.00082067,             0.00082067,             0.00082067
                     45,                0.85665,                0.50838,                 1.0675,                0.95907,                0.97652,                0.98772,                0.76656,                0.89364,                0.41072,                 1.0704,             0.00080653,             0.00080653,             0.00080653
