epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,867.508,1.01429,0.65443,1.15084,0.98049,0.975,0.97537,0.70698,1.0202,0.49558,1.13372,0.0011684,0.0011684,0.0011684
44,887.519,1.05143,0.65978,1.19725,0.97408,0.975,0.97549,0.72958,0.97192,0.50632,1.10232,0.0011486,0.0011486,0.0011486
45,907.574,1.03626,0.66918,1.1658,1,0.94887,0.97786,0.7272,1.01421,0.50542,1.12235,0.0011288,0.0011288,0.0011288
46,927.633,1.01306,0.65155,1.14902,0.97367,0.92466,0.97193,0.75326,0.94496,0.49859,1.08777,0.001109,0.001109,0.001109
47,947.653,0.99789,0.62835,1.17375,0.99461,0.975,0.98064,0.75515,0.94544,0.50101,1.10295,0.0010892,0.0010892,0.0010892
48,967.81,1.00708,0.60725,1.14713,1,0.97221,0.97757,0.75779,0.92661,0.46038,1.08658,0.0010694,0.0010694,0.0010694
49,987.865,1.00116,0.61562,1.12387,0.99349,0.975,0.97594,0.72402,0.96404,0.48286,1.09883,0.0010496,0.0010496,0.0010496
50,1008.01,1.00679,0.61717,1.14942,0.90462,0.94843,0.96817,0.74615,0.92149,0.50754,1.09046,0.0010298,0.0010298,0.0010298
51,1028.13,1.00754,0.61134,1.13724,0.99219,0.975,0.97757,0.7391,0.96198,0.47811,1.11069,0.00101,0.00101,0.00101
52,1048.21,0.99508,0.59015,1.13879,0.97357,0.975,0.97732,0.74575,0.94409,0.43451,1.07873,0.0009902,0.0009902,0.0009902
53,1068.35,0.98565,0.61001,1.1525,0.97222,0.975,0.97398,0.75595,0.92983,0.46259,1.07476,0.0009704,0.0009704,0.0009704
54,1088.35,0.97706,0.60866,1.12212,0.99818,0.975,0.97998,0.75917,0.91835,0.45528,1.05567,0.0009506,0.0009506,0.0009506
55,1108.53,0.96446,0.57697,1.13122,0.99747,0.975,0.981,0.73875,0.94712,0.44416,1.08337,0.0009308,0.0009308,0.0009308
56,1128.59,0.95829,0.57226,1.12581,0.99749,0.975,0.97849,0.75548,0.88574,0.42995,1.05114,0.000911,0.000911,0.000911
57,1148.69,0.96961,0.58852,1.13781,0.99733,0.975,0.9763,0.75982,0.93469,0.48349,1.06442,0.0008912,0.0008912,0.0008912
58,1168.82,0.95611,0.60136,1.15047,0.98688,0.975,0.97766,0.76548,0.89821,0.46029,1.06535,0.0008714,0.0008714,0.0008714
59,1188.99,0.95779,0.57368,1.10718,0.95128,0.95,0.97499,0.7406,0.94365,0.50568,1.09101,0.0008516,0.0008516,0.0008516
60,1209.07,0.94521,0.57089,1.12788,1,0.97417,0.97963,0.7591,0.89702,0.41824,1.07267,0.0008318,0.0008318,0.0008318
61,1229.09,0.98933,0.59295,1.13831,0.9738,0.975,0.97623,0.75019,0.90718,0.45314,1.08464,0.000812,0.000812,0.000812
62,1249.21,0.92528,0.57092,1.11558,0.97452,0.95614,0.97733,0.76139,0.89411,0.44406,1.06634,0.0007922,0.0007922,0.0007922
63,1269.37,0.91249,0.54599,1.10208,0.97297,0.975,0.97843,0.743,0.98082,0.44911,1.11886,0.0007724,0.0007724,0.0007724
64,1289.44,0.90928,0.54614,1.11988,0.96971,0.975,0.97556,0.72363,0.97724,0.49231,1.11831,0.0007526,0.0007526,0.0007526
65,1309.5,0.90251,0.54319,1.12662,0.9728,0.975,0.97667,0.75199,0.95415,0.4676,1.08831,0.0007328,0.0007328,0.0007328
66,1329.57,0.9236,0.54181,1.10862,0.97497,0.97385,0.97782,0.7578,0.92848,0.45423,1.06752,0.000713,0.000713,0.000713
67,1349.7,0.88195,0.51487,1.09981,0.95764,0.975,0.97709,0.74458,0.96074,0.44676,1.07412,0.0006932,0.0006932,0.0006932
68,1369.72,0.92364,0.57687,1.1328,0.97383,0.975,0.97875,0.75253,0.93653,0.45083,1.0802,0.0006734,0.0006734,0.0006734
69,1389.83,0.89392,0.51739,1.07946,0.97489,0.9706,0.97793,0.75545,0.91706,0.43851,1.06573,0.0006536,0.0006536,0.0006536
70,1409.87,0.90755,0.54122,1.09112,0.97493,0.97243,0.97537,0.77078,0.8899,0.47677,1.0484,0.0006338,0.0006338,0.0006338
71,1429.98,0.90484,0.53945,1.12321,0.97498,0.97419,0.97661,0.78671,0.8626,0.45063,1.05459,0.000614,0.000614,0.000614
72,1450.15,0.86845,0.50904,1.07385,0.99876,0.975,0.97774,0.76388,0.91553,0.41558,1.07226,0.0005942,0.0005942,0.0005942
73,1470.24,0.8852,0.52556,1.06687,0.97242,0.975,0.97729,0.77246,0.89523,0.40907,1.06261,0.0005744,0.0005744,0.0005744
74,1490.33,0.91278,0.51848,1.10239,0.99734,0.975,0.97874,0.77211,0.87507,0.40478,1.05144,0.0005546,0.0005546,0.0005546
75,1510.37,0.87212,0.52952,1.07669,1,0.97257,0.97812,0.74389,0.95395,0.47175,1.07833,0.0005348,0.0005348,0.0005348
76,1530.4,0.8934,0.53568,1.10523,0.98132,0.975,0.98694,0.75656,0.94677,0.41499,1.07753,0.000515,0.000515,0.000515
77,1550.48,0.87324,0.51867,1.08454,0.99337,0.975,0.991,0.77134,0.90869,0.41293,1.05746,0.0004952,0.0004952,0.0004952
78,1570.66,0.83929,0.49393,1.07427,0.99754,0.975,0.97987,0.76344,0.90533,0.43527,1.05737,0.0004754,0.0004754,0.0004754
79,1590.76,0.83884,0.48833,1.07035,0.99734,0.975,0.97796,0.76782,0.91274,0.41678,1.05456,0.0004556,0.0004556,0.0004556
80,1610.8,0.84362,0.48754,1.05446,0.99672,0.975,0.97954,0.77322,0.8954,0.40447,1.04699,0.0004358,0.0004358,0.0004358
81,1630.87,0.82896,0.47229,1.03511,0.99754,0.975,0.98071,0.7851,0.89477,0.40872,1.04479,0.000416,0.000416,0.000416
82,1650.99,0.84247,0.51134,1.09428,0.99319,0.975,0.97814,0.75147,0.9029,0.42208,1.03307,0.0003962,0.0003962,0.0003962
83,1670.94,0.79567,0.44821,1.03677,0.99618,0.975,0.97827,0.74279,0.90706,0.42033,1.04544,0.0003764,0.0003764,0.0003764
84,1690.98,0.85344,0.49532,1.06225,0.99344,0.975,0.9776,0.76073,0.90396,0.42621,1.05078,0.0003566,0.0003566,0.0003566
85,1711.06,0.80758,0.44745,1.02542,0.9927,0.975,0.97712,0.76781,0.89237,0.4057,1.04106,0.0003368,0.0003368,0.0003368
86,1731.11,0.79458,0.46634,1.02668,0.99295,0.975,0.97844,0.75672,0.86217,0.38116,1.02062,0.000317,0.000317,0.000317
